Status,Gender,Age,Education,EmploymentStatus,Income,Harassment
Complete,Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",0
Complete,Female,50 to 54,Bachelor's degree,"Working part-time, that is, less than 35 hours per week?","$100,000 to just under $150,000",1
Complete,Female,18 to 34,Post graduate degree above bachelor's level,"Working part-time, that is, less than 35 hours per week?","$80,000 to just under $100,000",1
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond,1
Complete,Female,18 to 34,Registered Apprenticeship or other trades certificate or diploma,"Working part-time, that is, less than 35 hours per week?","$150,000 and above",0
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Female,65 or older,I do not wish to respond,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",0
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",0
Complete,Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond,0
Complete,Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$20,000 to just under $40,000",0
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",0
Complete,Female,35 to 49,"College, CEGEP or other non-university certificate or diploma",Other,"$100,000 to just under $150,000",1
Complete,Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",0
Complete,Female,35 to 49,University certificate or diploma below bachelor's level,"Working part-time, that is, less than 35 hours per week?",I do not wish to respond,0
Complete,Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000",0
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",1
Complete,Male,50 to 54,Post graduate degree above bachelor's level,Self-employed?,"$60,000 to just under $80,000",1
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",1
Complete,Female,18 to 34,Bachelor's degree,"Working part-time, that is, less than 35 hours per week?","$80,000 to just under $100,000",1
Complete,Female,55 to 64,"College, CEGEP or other non-university certificate or diploma","Working part-time, that is, less than 35 hours per week?","$60,000 to just under $80,000",0
Complete,Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,I do not wish to respond,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Female,50 to 54,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",0
Complete,Female,65 or older,University certificate or diploma below bachelor's level,"Working part-time, that is, less than 35 hours per week?","$40,000 to just under $60,000",1
Complete,Female,35 to 49,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",0
Complete,Female,35 to 49,Post graduate degree above bachelor's level,"Working part-time, that is, less than 35 hours per week?","$150,000 and above",0
Complete,Female,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","Under $20,000",0
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",0
Complete,Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",0
Complete,Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000",1
Complete,Female,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working part-time, that is, less than 35 hours per week?","$40,000 to just under $60,000",0
Complete,Female,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000",0
Complete,Female,55 to 64,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Female,18 to 34,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",1
Complete,Female,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Male,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?",I do not wish to respond,1
Complete,Female,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,18 to 34,Bachelor's degree,A student attending school full-time?,"$20,000 to just under $40,000",1
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000",0
Complete,I do not wish to respond,Prefer not to answer,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",1
Complete,Male,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",1
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",1
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",1
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond,1
Complete,Male,55 to 64,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",1
Complete,Female,35 to 49,Bachelor's degree,Other,"$150,000 and above",1
Complete,Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",1
Complete,Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000",1
Complete,Female,18 to 34,High School diploma or equivalent,A student attending school full-time?,I do not wish to respond,1
Complete,Female,50 to 54,Bachelor's degree,Retired?,"$20,000 to just under $40,000",1
Complete,Female,18 to 34,Bachelor's degree,A student attending school full-time?,"$20,000 to just under $40,000",1
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$20,000 to just under $40,000",0
Complete,Female,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","Under $20,000",1
Complete,Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",1
Complete,Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",1
Complete,Female,55 to 64,Post graduate degree above bachelor's level,Self-employed?,"$40,000 to just under $60,000",1
Complete,Female,55 to 64,Bachelor's degree,"Working part-time, that is, less than 35 hours per week?","$100,000 to just under $150,000",1
Complete,Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",1
Complete,Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",0
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",0
Complete,Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",1
Complete,Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",1
Complete,Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Female,55 to 64,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",1
Complete,Male,55 to 64,Registered Apprenticeship or other trades certificate or diploma,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",0
Complete,Female,18 to 34,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Female,Prefer not to answer,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond,1
Complete,Female,35 to 49,Bachelor's degree,Self-employed?,"$100,000 to just under $150,000",1
Complete,Female,50 to 54,"College, CEGEP or other non-university certificate or diploma",Self-employed?,I do not wish to respond,1
Complete,Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,50 to 54,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",1
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",1
Complete,Male,50 to 54,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond,1
Complete,Female,55 to 64,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Male,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Male,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Male,18 to 34,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000",0
Complete,Female,55 to 64,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond,0
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000",1
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",0
Complete,Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?",I do not wish to respond,1
Complete,Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Male,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",0
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000",1
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000",1
Complete,Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?",I do not wish to respond,1
Complete,Female,50 to 54,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,65 or older,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",0
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,50 to 54,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",0
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",1
Complete,Male,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond,1
Complete,Male,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000",1
Complete,Male,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond,0
Complete,Non-binary,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Female,50 to 54,Registered Apprenticeship or other trades certificate or diploma,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000",1
Complete,Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",0
Complete,Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",1
Complete,Male,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000",0
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000",0
Complete,Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?",I do not wish to respond,0
Complete,Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000",0
Complete,Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above",1
