Gender,Age,Education,EmploymentStatus,Income
Female,50 to 54,Bachelor's degree,Other,"$150,000 and above"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,35 to 49,Bachelor's degree,"Not in the workforce? (full-time homemaker, not employed, not looking for work)","$60,000 to just under $80,000"
Female,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,65 or older,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,55 to 64,"College, CEGEP or other non-university certificate or diploma",Retired?,"$80,000 to just under $100,000"
Male,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,Prefer not to answer,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,50 to 54,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,Prefer not to answer,I do not wish to respond,Prefer not to answer,I do not wish to respond
I do not wish to respond,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,55 to 64,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
I do not wish to respond,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Male,55 to 64,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Male,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Male,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Male,18 to 34,Bachelor's degree,"Working part-time, that is, less than 35 hours per week?",I do not wish to respond
Male,65 or older,Bachelor's degree,Retired?,"$60,000 to just under $80,000"
Male,50 to 54,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Male,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,55 to 64,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Male,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Bachelor's degree,"Unemployed, but looking for work?","$150,000 and above"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,35 to 49,University certificate or diploma below bachelor's level,Other,"$100,000 to just under $150,000"
Female,35 to 49,Bachelor's degree,Self-employed?,"$20,000 to just under $40,000"
Female,35 to 49,Registered Apprenticeship or other trades certificate or diploma,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Male,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,50 to 54,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,50 to 54,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,35 to 49,Bachelor's degree,Self-employed?,"$20,000 to just under $40,000"
Female,18 to 34,"College, CEGEP or other non-university certificate or diploma",A student attending school full-time?,"$150,000 and above"
Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,55 to 64,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Male,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Male,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Male,55 to 64,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Male,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Bachelor's degree,"Working part-time, that is, less than 35 hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$20,000 to just under $40,000"
Female,55 to 64,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Male,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,55 to 64,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,55 to 64,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,University certificate or diploma below bachelor's level,"Working part-time, that is, less than 35 hours per week?","$150,000 and above"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working part-time, that is, less than 35 hours per week?","$60,000 to just under $80,000"
Female,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$20,000 to just under $40,000"
Female,55 to 64,Bachelor's degree,Self-employed?,"$40,000 to just under $60,000"
Female,18 to 34,Bachelor's degree,A student attending school full-time?,"Under $20,000"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,50 to 54,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,55 to 64,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,Prefer not to answer,University certificate or diploma below bachelor's level,Other,"Under $20,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Male,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Male,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working part-time, that is, less than 35 hours per week?","$20,000 to just under $40,000"
Male,35 to 49,Bachelor's degree,"Unemployed, but looking for work?","$40,000 to just under $60,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Male,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,18 to 34,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working part-time, that is, less than 35 hours per week?","$60,000 to just under $80,000"
Female,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,18 to 34,Bachelor's degree,"Working part-time, that is, less than 35 hours per week?","$80,000 to just under $100,000"
Female,35 to 49,Post graduate degree above bachelor's level,Self-employed?,"$100,000 to just under $150,000"
Male,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,65 or older,Bachelor's degree,"Working part-time, that is, less than 35 hours per week?","$60,000 to just under $80,000"
Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,50 to 54,Bachelor's degree,"Working part-time, that is, less than 35 hours per week?","$100,000 to just under $150,000"
I do not wish to respond,18 to 34,Post graduate degree above bachelor's level,"Working part-time, that is, less than 35 hours per week?","$80,000 to just under $100,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,18 to 34,Registered Apprenticeship or other trades certificate or diploma,"Working part-time, that is, less than 35 hours per week?","$150,000 and above"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,65 or older,I do not wish to respond,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$20,000 to just under $40,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma",Other,"$100,000 to just under $150,000"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,35 to 49,University certificate or diploma below bachelor's level,"Working part-time, that is, less than 35 hours per week?",I do not wish to respond
Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,50 to 54,Post graduate degree above bachelor's level,Self-employed?,"$60,000 to just under $80,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Male,18 to 34,Bachelor's degree,"Working part-time, that is, less than 35 hours per week?","$80,000 to just under $100,000"
Female,55 to 64,"College, CEGEP or other non-university certificate or diploma","Working part-time, that is, less than 35 hours per week?","$60,000 to just under $80,000"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,50 to 54,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,65 or older,University certificate or diploma below bachelor's level,"Working part-time, that is, less than 35 hours per week?","$40,000 to just under $60,000"
I do not wish to respond,35 to 49,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,35 to 49,Post graduate degree above bachelor's level,"Working part-time, that is, less than 35 hours per week?","$150,000 and above"
Female,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","Under $20,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working part-time, that is, less than 35 hours per week?","$40,000 to just under $60,000"
Female,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,55 to 64,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,18 to 34,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Bachelor's degree,A student attending school full-time?,"$20,000 to just under $40,000"
Male,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,Prefer not to answer,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
I do not wish to respond,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Male,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,55 to 64,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,35 to 49,Bachelor's degree,Other,"$150,000 and above"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Male,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,18 to 34,High School diploma or equivalent,A student attending school full-time?,I do not wish to respond
Female,50 to 54,Bachelor's degree,Retired?,"$20,000 to just under $40,000"
Female,18 to 34,Bachelor's degree,A student attending school full-time?,"$20,000 to just under $40,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$20,000 to just under $40,000"
Female,18 to 34,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","Under $20,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,55 to 64,Post graduate degree above bachelor's level,Self-employed?,"$40,000 to just under $60,000"
Female,55 to 64,Bachelor's degree,"Working part-time, that is, less than 35 hours per week?","$100,000 to just under $150,000"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,55 to 64,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,55 to 64,Registered Apprenticeship or other trades certificate or diploma,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,18 to 34,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,Prefer not to answer,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Male,35 to 49,Bachelor's degree,Self-employed?,"$100,000 to just under $150,000"
Female,50 to 54,"College, CEGEP or other non-university certificate or diploma",Self-employed?,I do not wish to respond
Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,50 to 54,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,50 to 54,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,55 to 64,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Male,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Male,55 to 64,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Male,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Male,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Male,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,50 to 54,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,65 or older,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,50 to 54,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Male,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Male,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Male,50 to 54,Registered Apprenticeship or other trades certificate or diploma,"Working full-time, that is, 35 or more hours per week?","$60,000 to just under $80,000"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Non-binary,50 to 54,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Male,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,35 to 49,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,50 to 54,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Male,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,55 to 64,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,50 to 54,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,50 to 54,Post graduate degree above bachelor's level,,"$40,000 to just under $60,000"
Female,35 to 49,University certificate or diploma below bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Male,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Male,35 to 49,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Male,55 to 64,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,55 to 64,"College, CEGEP or other non-university certificate or diploma",Retired?,"$100,000 to just under $150,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
Female,18 to 34,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?","$40,000 to just under $60,000"
Male,50 to 54,Bachelor's degree,"Working full-time, that is, 35 or more hours per week?",I do not wish to respond
Male,35 to 49,Post graduate degree above bachelor's level,"Working part-time, that is, less than 35 hours per week?","$20,000 to just under $40,000"
Female,35 to 49,Post graduate degree above bachelor's level,"Working full-time, that is, 35 or more hours per week?","$150,000 and above"
Female,35 to 49,"College, CEGEP or other non-university certificate or diploma","Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Female,50 to 54,Registered Apprenticeship or other trades certificate or diploma,"Working full-time, that is, 35 or more hours per week?","$100,000 to just under $150,000"
Male,35 to 49,High School diploma or equivalent,"Working full-time, that is, 35 or more hours per week?","$80,000 to just under $100,000"
